Voltage_(V)	Current_(mA) 
-0.130150407	3.16591E-05
-0.122745571	2.9354E-05
-0.122134993	2.71552E-05
-0.122620627	2.48566E-05
-0.1111179	2.25993E-05
-0.109381603	0.000020384
-0.108398678	1.8169E-05
-0.097117844	1.58135E-05
-0.092547547	1.36655E-05
-0.093966076	1.13393E-05
-0.0787668	1.13393E-05
-0.064120316	3.37267E-06
-0.067438069	0.00000173
-0.063138317	6.21022E-07
-0.0606033	-4.20511E-07
-0.06252694	-1.43764E-06
-0.06200539	-2.45524E-06
-0.060559533	-3.46918E-06
-0.055606487	-4.50693E-06
-0.056445173	-5.53202E-06
-0.053769302	-6.54011E-06
-0.051407744	-7.5984E-06
-0.047777829	-8.61016E-06
-0.047099706	-9.69033E-06
-0.049266054	-1.0757E-05
-0.042550936	-1.1789E-05
-0.042518045	-1.28447E-05
-0.038210157	-1.28447E-05
-0.006930326	-3.19894E-05
0.00656509	-3.42226E-05
0.009903503	-3.66573E-05
0.009105646	-3.9008E-05
0.015162272	-4.1393E-05
0.024916066	-4.38064E-05
0.023297027	-4.65146E-05
0.026353076	-4.92614E-05
0.037482502	-5.20827E-05
0.0344704	-5.49542E-05
0.041216607	-5.80778E-05
0.0529987	-6.13521E-05
0.053420322	-6.47802E-05
0.049201076	-0.000068538
0.057938275	-7.25242E-05
0.066726314	-7.68087E-05
0.064376738	-8.15864E-05
0.06449878	-8.67276E-05
0.069479625	-9.19998E-05
0.081941084	-9.80651E-05
0.078293325	-0.00010442
0.078013914	-0.0001113
0.083336694	-0.00011845
0.088644354	-0.000126114
0.091819488	-0.000133798
0.091728437	-0.000142467
0.096194751	-0.000151146
0.097889779	-0.000160357
0.096797027	-0.000169738
0.102571224	-0.000169738
0.147840235	-0.000502075
0.153352482	-0.000556661
0.154482247	-0.000613655
0.152271699	-0.000677906
0.157599017	-0.000744109
0.1681495	-0.000815988
0.168991869	-0.000887361
0.16404103	-0.00096764
0.168866972	-0.001048138
0.174147817	-0.001134799
0.18045587	-0.001218441
0.179605917	-0.00130354
0.18233101	-0.001396403
0.183479957	-0.001488219
0.179859845	-0.001582159
0.182097665	-0.00167941
0.190831379	-0.00167941
0.242584243	-0.00527891
0.236425684	-0.005718576
0.24299378	-0.006175874
0.251712777	-0.006642964
0.250752419	-0.007149662
0.253910951	-0.007651503
0.263241188	-0.008156301
0.269883788	-0.00870421
0.270360381	-0.009260016
0.270398917	-0.009825328
0.276849892	-0.01040536
0.282792264	-0.011004848
0.279672518	-0.01164777
0.280938983	-0.01223517
0.293476109	-0.012866406
0.297601497	-0.013507888
0.293973421	-0.014159508
0.297143024	-0.014804679
0.30032004	-0.015477642
0.312733411	-0.016146598
0.307832958	-0.016830025
0.313642533	-0.017528319
0.314500811	-0.017528319
0.372592765	-0.02906613
0.381720124	-0.030394341
0.380509584	-0.031746313
0.388241774	-0.0331154
0.395754135	-0.034499837
0.397377576	-0.035919412
0.402971092	-0.037403353
0.415274445	-0.038831527
0.40978849	-0.040330146
0.413800128	-0.041851565
0.422761462	-0.043361914
0.429832288	-0.044957845
0.43070309	-0.046515115
0.442948985	-0.048075195
0.439025237	-0.049716444
0.450391401	-0.05134005
0.455991958	-0.052931
0.454604671	-0.05465485
0.462580017	-0.056370312
0.472458368	-0.058019585
0.467297339	-0.05971671
0.480869707	-0.061459733
0.48098402	-0.063215978
0.485157006	-0.064966846
