Voltage_(V)	Current_(mA) 
-0.208629498	0.098677927
-0.214306872	0.099074796
-0.19343744	0.099719698
-0.191765082	0.099470881
-0.190332866	0.099292595
-0.17048086	0.098760256
-0.176821079	0.098622523
-0.161986897	0.097912594
-0.155874721	0.098526612
-0.146440786	0.099129121
-0.137576289	0.09856171
-0.127546632	0.097963486
-0.128062198	0.097529614
-0.109903014	0.098016084
-0.110104677	0.097423463
-0.109623578	0.097070022
-0.090664902	0.097709414
-0.092486628	0.097696691
-0.078756752	0.097514831
-0.074722236	0.097259833
-0.069080605	0.097567965
-0.052742036	0.096478176
-0.051869862	0.095855153
-0.048296329	0.095523374
-0.026858705	0.09545318
-0.031806314	0.095314498
-0.0246278	0.095790391
-0.010568526	0.094971892
-0.010937818	0.095662542
0.000145754	0.095642447
0.016532668	0.095022217
0.01188945	0.093994599
0.030940372	0.093921172
0.032506769	0.093716522
0.032721502	0.093722262
0.046900045	0.09327515
0.053153004	0.093351951
0.062965865	0.093931374
0.073127983	0.0925959
0.075451121	0.091787885
0.087017793	0.091379917
0.099307962	0.091038262
0.091288717	0.090971481
0.107501449	0.090152802
0.117444875	0.090399909
0.1172475	0.089284111
0.129795221	0.088393715
0.13401016	0.088030904
0.13878917	0.086705486
0.155924739	0.085174681
0.155200542	0.084717488
0.166914301	0.083742598
0.17901283	0.082121714
0.172716873	0.081383193
0.193199045	0.079898447
0.201215238	0.078731839
0.195453858	0.077192756
0.211080325	0.075568552
0.213288577	0.073809859
0.225155309	0.072918012
0.232555782	0.069578663
0.243098525	0.068542528
0.240285197	0.066478919
0.257928114	0.063875433
0.260725029	0.062362556
0.271724278	0.059151189
0.279059191	0.05603376
0.279876143	0.054425671
0.291106142	0.05249664
0.332170203	0.031217203
0.337742135	0.028258725
0.340919818	0.0267971
0.339571505	0.025098009
0.345212079	0.022618414
0.364098491	0.0188187
0.364299736	0.017111825
0.359168363	0.015506621
0.359319449	0.013509473
0.372401097	0.009725282
0.386327284	0.006929685
0.383983884	0.005146542
0.386371971	0.005091393
0.388439438	0.00451957
0.386009919	0.001398139
0.384044794	0.001361475
0.384843895	0.001268454
0.377837224	0.001267333
0.383626256	0.001191853
0.387068346	0.001189902
0.382551121	0.001113054
0.384227841	0.001034478
0.381258126	0.000960849
0.39947517	-0.005616458
0.400014282	-0.005952474
0.401211288	-0.005933403
0.448881999	-0.032346048
0.448687677	-0.035478801
0.463253929	-0.03961294
0.463565196	-0.041790094
0.46408221	-0.043589505
0.463558553	-0.045705553
0.471352803	-0.049102485
0.486376938	-0.05303634
0.487738971	-0.055160982
0.484528968	-0.057080322
0.484113088	-0.057163115
0.564842244	-0.1069319
0.564156984	-0.110783649
0.589206192	-0.118287129
0.586054474	-0.12223879
0.58949174	-0.126344294
0.607349454	-0.134312828
0.612590948	-0.138277497
0.609029617	-0.142630993
0.631521513	-0.150729427
0.629237251	-0.154989913
0.632345225	-0.15991996
0.645080356	-0.168289317
0.647692457	-0.172491276
0.648977465	-0.177731772
0.672437888	-0.186552083
0.670748563	-0.190852846
0.676180045	-0.196824557
0.688023128	-0.206192689
0.691424426	-0.210558261
0.691980398	-0.217188662
