Voltage_(V)	Current_(mA) 
-0.183043222	0.09301291
-0.178850359	0.094583504
-0.175849316	0.094481644
-0.162570266	0.09406928
-0.159890103	0.094451182
-0.157898334	0.093712806
-0.143928191	0.095492477
-0.136843413	0.094610918
-0.125640691	0.093242915
-0.117199096	0.093370969
-0.116370825	0.093514529
-0.102866828	0.093291946
-0.095840012	0.093019422
-0.093165153	0.092822499
-0.08309954	0.092548595
-0.081479243	0.092506505
-0.068569548	0.092246616
-0.062881634	0.09140448
-0.057450026	0.091941138
-0.050854013	0.09166081
-0.037413243	0.091327921
-0.042485848	0.091201976
-0.020094462	0.091237818
-0.018859095	0.090319859
-0.01537114	0.090018705
-0.001078132	0.090318899
-0.002145291	0.090447935
0.012449431	0.089908714
0.020586033	0.090032565
0.026302406	0.089275929
0.033892759	0.088946754
0.044694785	0.088553173
0.045492489	0.088570095
0.061672119	0.087974818
0.063851074	0.087712019
0.068132264	0.087667289
0.087443182	0.086902042
0.079570426	0.086343018
0.091592805	0.086202422
0.103257581	0.085183762
0.10328403	0.084818437
0.11290172	0.083626417
0.120915258	0.08331165
0.128583925	0.082572441
0.140134429	0.081438085
0.150631169	0.08012836
0.146729009	0.079386025
0.166235254	0.078116613
0.170705445	0.076109546
0.169414312	0.075590212
0.191341176	0.074087932
0.190839047	0.073441819
0.195276426	0.071990677
0.211592741	0.069886563
0.209217562	0.068332502
0.225825998	0.066062161
0.225165581	0.064335333
0.232484852	0.062800594
0.243528311	0.05961114
0.253149889	0.057899491
0.255150672	0.055260096
0.265036014	0.052472414
0.264706402	0.052410049
0.311118739	0.031795727
0.314742205	0.030217002
0.319610087	0.027781408
0.333851313	0.024127029
0.327909141	0.02268558
0.328113932	0.020874018
0.339005958	0.018904582
0.344821871	0.015264382
0.347878512	0.013102368
0.356379889	0.011597864
0.35193617	0.009619894
0.358784248	0.006242699
0.370041141	0.004827681
0.368382485	0.004701013
0.369496948	0.000735229
0.366308405	0.00062466
0.368781079	0.000548212
0.375280839	0.000532224
0.372742675	0.000385401
0.367683273	0.00036211
0.366474628	0.000305185
0.369585831	0.00035406
0.36853483	0.000316783
0.374125285	0.0002084
0.380821275	-0.005385441
0.381421791	-0.005771883
0.383351437	-0.006107676
0.432397366	-0.033786698
0.437493062	-0.035649915
0.43956209	-0.038128554
0.447190712	-0.042575723
0.450365422	-0.044965118
0.458731683	-0.047057629
0.457581659	-0.04878519
0.464473162	-0.052070126
0.475684455	-0.056326045
0.469571249	-0.05852881
0.472838269	-0.058549758
0.558692235	-0.108542597
0.556112159	-0.111833652
0.568533748	-0.117378899
0.57294581	-0.123784132
0.57395761	-0.127454985
0.586940121	-0.133398277
0.595627259	-0.139795845
0.598759593	-0.143739035
0.606181286	-0.149899145
0.615644885	-0.156128293
0.623083635	-0.160189747
0.633844713	-0.167489718
0.637573096	-0.173391916
0.637267845	-0.177475463
0.653707911	-0.18527592
0.654584315	-0.191179226
0.655165875	-0.195418564
0.677152429	-0.203509237
0.676884399	-0.20975091
0.677344397	-0.214366962
0.695112553	-0.223692257
