Voltage_(V)	Current_(mA) 
-0.226386083	0.000177488
-0.186078048	0.000171695
-0.178408193	0.000163941
-0.16747233	0.000155271
-0.159054559	0.000146976
-0.160822326	0.000139417
-0.158169448	0.000131101
-0.143438925	0.000122951
-0.143366342	0.000115009
-0.138586064	0.00010696
-0.12131358	9.88188E-05
-0.116936151	9.05471E-05
-0.120354708	8.29444E-05
-0.105913106	7.42603E-05
-0.098340995	6.58286E-05
-0.097168787	5.74883E-05
-0.093901107	4.95143E-05
-0.078251578	4.12992E-05
-0.072050218	3.34691E-05
-0.070558846	3.34691E-05
-0.044353564	6.44911E-06
-0.05555611	-6.25389E-06
-0.079357114	-1.92253E-05
-0.078072757	-2.27888E-05
-0.081384925	-2.58872E-05
-0.079059838	-2.92129E-05
-0.075720886	-3.22722E-05
-0.07805624	-3.22722E-05
-0.029433009	-0.00010272
-0.012174234	-0.000110369
-0.008121708	-0.000118715
-0.009589104	-0.000127208
0.008118364	-0.000135746
0.009391438	-0.000144066
0.012303255	-0.000152513
0.01841934	-0.000161256
0.032154577	-0.00017003
0.032350235	-0.00017935
0.033049833	-0.000188476
0.046065441	-0.000198006
0.051397913	-0.000207534
0.054331383	-0.000217318
0.058571254	-0.000228039
0.071727401	-0.00023881
0.078676227	-0.000250541
0.077828914	-0.000262332
0.084182684	-0.000274818
0.094248276	-0.000287646
0.098155115	-0.000301728
0.10016086	-0.000316032
0.099271404	-0.00033047
0.108264022	-0.000347168
0.120230233	-0.000363564
0.116334376	-0.000381458
0.120103072	-0.000399137
0.12664987	-0.000418653
0.132270995	-0.000437875
0.13792349	-0.000437875
0.203018598	-0.000961616
0.207461917	-0.001040921
0.227302205	-0.001125434
0.228288341	-0.001211387
0.23101024	-0.001303526
0.239682648	-0.001401596
0.250769693	-0.001499911
0.249754026	-0.001601342
0.249155351	-0.001707695
0.264382934	-0.001816437
0.269877934	-0.001928312
0.271527477	-0.002043822
0.271217701	-0.002159836
0.289250393	-0.002279305
0.28921016	-0.002404452
0.295201955	-0.002530565
0.294120826	-0.002653469
0.311566866	-0.002777523
0.310198624	-0.002909383
0.313721686	-0.003038651
0.319791122	-0.003170835
0.329539559	-0.003296859
0.332579804	-0.003437021
0.337301577	-0.003574896
0.33695512	-0.003714909
0.350391365	-0.003850971
0.359420685	-0.003990657
0.358864318	-0.004132811
0.36229214	-0.00427373
0.371417195	-0.00441689
0.377953523	-0.00441689
0.464700952	-0.006960299
0.466417001	-0.007201675
0.473935959	-0.007458536
0.486307466	-0.007699835
0.487082204	-0.007952323
0.498053207	-0.008207547
0.505025233	-0.008469076
0.512301819	-0.008713142
0.519146024	-0.008977103
0.532862474	-0.009246319
0.534955935	-0.009490535
0.545100351	-0.00974384
0.553557872	-0.010007176
0.553605704	-0.010294556
0.566963818	-0.010547739
0.571580768	-0.010815894
0.579051062	-0.011069806
0.594875559	-0.011335346
0.592367564	-0.011616978
0.600850541	-0.011893116
0.61708329	-0.012162976
0.61688433	-0.012450876
0.62328473	-0.01272452
0.63600729	-0.01300008
0.635332638	-0.013269869
0.647557321	-0.013554223
0.655928639	-0.01384151
0.658383419	-0.014120772
0.674487773	-0.014392073
0.684045461	-0.014684235
0.682182007	-0.014964298
0.69514487	-0.015244058
0.703269805	-0.015517763
