Voltage,Current,Temperature,Condition,Time
-0.130150407,3.16591e-05,31.5,DARK,0
-0.122745571,2.9354e-05,31.5,DARK,1
-0.122134993,2.71552e-05,31.5,DARK,2
-0.122620627,2.48566e-05,31.5,DARK,3
-0.1111179,2.25993e-05,31.5,DARK,4
-0.109381603,2.0384e-05,31.5,DARK,5
-0.108398678,1.8169e-05,31.5,DARK,6
-0.097117844,1.58135e-05,31.5,DARK,7
-0.092547547,1.36655e-05,31.5,DARK,8
-0.093966076,1.13393e-05,31.5,DARK,9
-0.0787668,1.13393e-05,31.5,DARK,10
-0.064120316,3.37267e-06,31.5,DARK,11
-0.067438069,1.73e-06,31.5,DARK,12
-0.063138317,6.21022e-07,31.5,DARK,13
-0.0606033,-4.20511e-07,31.5,DARK,14
-0.06252694,-1.43764e-06,31.5,DARK,15
-0.06200539,-2.45524e-06,31.5,DARK,16
-0.060559533,-3.46918e-06,31.5,DARK,17
-0.055606487,-4.50693e-06,31.5,DARK,18
-0.056445173,-5.53202e-06,31.5,DARK,19
-0.053769302,-6.54011e-06,31.5,DARK,20
-0.051407744,-7.5984e-06,31.5,DARK,21
-0.047777829,-8.61016e-06,31.5,DARK,22
-0.047099706,-9.69033e-06,31.5,DARK,23
-0.049266054,-1.0757e-05,31.5,DARK,24
-0.042550936,-1.1789e-05,31.5,DARK,25
-0.042518045,-1.28447e-05,31.5,DARK,26
-0.038210157,-1.28447e-05,31.5,DARK,27
-0.006930326,-3.19894e-05,31.5,DARK,28
0.00656509,-3.42226e-05,31.5,DARK,29
0.009903503,-3.66573e-05,31.5,DARK,30
0.009105646,-3.9008e-05,31.5,DARK,31
0.015162272,-4.1393e-05,31.5,DARK,32
0.024916066,-4.38064e-05,31.5,DARK,33
0.023297027,-4.65146e-05,31.5,DARK,34
0.026353076,-4.92614e-05,31.5,DARK,35
0.037482502,-5.20827e-05,31.5,DARK,36
0.0344704,-5.49542e-05,31.5,DARK,37
0.041216607,-5.80778e-05,31.5,DARK,38
0.0529987,-6.13521e-05,31.5,DARK,39
0.053420322,-6.47802e-05,31.5,DARK,40
0.049201076,-6.8538e-05,31.5,DARK,41
0.057938275,-7.25242e-05,31.5,DARK,42
0.066726314,-7.68087e-05,31.5,DARK,43
0.064376738,-8.15864e-05,31.5,DARK,44
0.06449878,-8.67276e-05,31.5,DARK,45
0.069479625,-9.19998e-05,31.5,DARK,46
0.081941084,-9.80651e-05,31.5,DARK,47
0.078293325,-0.00010442,31.5,DARK,48
0.078013914,-0.0001113,31.5,DARK,49
0.083336694,-0.00011845,31.5,DARK,50
0.088644354,-0.000126114,31.5,DARK,51
0.091819488,-0.000133798,31.5,DARK,52
0.091728437,-0.000142467,31.5,DARK,53
0.096194751,-0.000151146,31.5,DARK,54
0.097889779,-0.000160357,31.5,DARK,55
0.096797027,-0.000169738,31.5,DARK,56
0.102571224,-0.000169738,31.5,DARK,57
0.147840235,-0.000502075,31.5,DARK,58
0.153352482,-0.000556661,31.5,DARK,59
0.154482247,-0.000613655,31.5,DARK,60
0.152271699,-0.000677906,31.5,DARK,61
0.157599017,-0.000744109,31.5,DARK,62
0.1681495,-0.000815988,31.5,DARK,63
0.168991869,-0.000887361,31.5,DARK,64
0.16404103,-0.00096764,31.5,DARK,65
0.168866972,-0.001048138,31.5,DARK,66
0.174147817,-0.001134799,31.5,DARK,67
0.18045587,-0.001218441,31.5,DARK,68
0.179605917,-0.00130354,31.5,DARK,69
0.18233101,-0.001396403,31.5,DARK,70
0.183479957,-0.001488219,31.5,DARK,71
0.179859845,-0.001582159,31.5,DARK,72
0.182097665,-0.00167941,31.5,DARK,73
0.190831379,-0.00167941,31.5,DARK,74
0.242584243,-0.00527891,31.5,DARK,75
0.236425684,-0.005718576,31.5,DARK,76
0.24299378,-0.006175874,31.5,DARK,77
0.251712777,-0.006642964,31.5,DARK,78
0.250752419,-0.007149662,31.5,DARK,79
0.253910951,-0.007651503,31.5,DARK,80
0.263241188,-0.008156301,31.5,DARK,81
0.269883788,-0.00870421,31.5,DARK,82
0.270360381,-0.009260016,31.5,DARK,83
0.270398917,-0.009825328,31.5,DARK,84
0.276849892,-0.01040536,31.5,DARK,85
0.282792264,-0.011004848,31.5,DARK,86
0.279672518,-0.01164777,31.5,DARK,87
0.280938983,-0.01223517,31.5,DARK,88
0.293476109,-0.012866406,31.5,DARK,89
0.297601497,-0.013507888,31.5,DARK,90
0.293973421,-0.014159508,31.5,DARK,91
0.297143024,-0.014804679,31.5,DARK,92
0.30032004,-0.015477642,31.5,DARK,93
0.312733411,-0.016146598,31.5,DARK,94
0.307832958,-0.016830025,31.5,DARK,95
0.313642533,-0.017528319,31.5,DARK,96
0.314500811,-0.017528319,31.5,DARK,97
0.372592765,-0.02906613,31.5,DARK,98
0.381720124,-0.030394341,31.5,DARK,99
0.380509584,-0.031746313,31.5,DARK,100
0.388241774,-0.0331154,31.5,DARK,101
0.395754135,-0.034499837,31.5,DARK,102
0.397377576,-0.035919412,31.5,DARK,103
0.402971092,-0.037403353,31.5,DARK,104
0.415274445,-0.038831527,31.5,DARK,105
0.40978849,-0.040330146,31.5,DARK,106
0.413800128,-0.041851565,31.5,DARK,107
0.422761462,-0.043361914,31.5,DARK,108
0.429832288,-0.044957845,31.5,DARK,109
0.43070309,-0.046515115,31.5,DARK,110
0.442948985,-0.048075195,31.5,DARK,111
0.439025237,-0.049716444,31.5,DARK,112
0.450391401,-0.05134005,31.5,DARK,113
0.455991958,-0.052931,31.5,DARK,114
0.454604671,-0.05465485,31.5,DARK,115
0.462580017,-0.056370312,31.5,DARK,116
0.472458368,-0.058019585,31.5,DARK,117
0.467297339,-0.05971671,31.5,DARK,118
0.480869707,-0.061459733,31.5,DARK,119
0.48098402,-0.063215978,31.5,DARK,120
0.485157006,-0.064966846,31.5,DARK,121
-0.208629498,0.098677927,31.5,LIGHT,0
-0.214306872,0.099074796,31.5,LIGHT,1
-0.19343744,0.099719698,31.5,LIGHT,2
-0.191765082,0.099470881,31.5,LIGHT,3
-0.190332866,0.099292595,31.5,LIGHT,4
-0.17048086,0.098760256,31.5,LIGHT,5
-0.176821079,0.098622523,31.5,LIGHT,6
-0.161986897,0.097912594,31.5,LIGHT,7
-0.155874721,0.098526612,31.5,LIGHT,8
-0.146440786,0.099129121,31.5,LIGHT,9
-0.137576289,0.09856171,31.5,LIGHT,10
-0.127546632,0.097963486,31.5,LIGHT,11
-0.128062198,0.097529614,31.5,LIGHT,12
-0.109903014,0.098016084,31.5,LIGHT,13
-0.110104677,0.097423463,31.5,LIGHT,14
-0.109623578,0.097070022,31.5,LIGHT,15
-0.090664902,0.097709414,31.5,LIGHT,16
-0.092486628,0.097696691,31.5,LIGHT,17
-0.078756752,0.097514831,31.5,LIGHT,18
-0.074722236,0.097259833,31.5,LIGHT,19
-0.069080605,0.097567965,31.5,LIGHT,20
-0.052742036,0.096478176,31.5,LIGHT,21
-0.051869862,0.095855153,31.5,LIGHT,22
-0.048296329,0.095523374,31.5,LIGHT,23
-0.026858705,0.09545318,31.5,LIGHT,24
-0.031806314,0.095314498,31.5,LIGHT,25
-0.0246278,0.095790391,31.5,LIGHT,26
-0.010568526,0.094971892,31.5,LIGHT,27
-0.010937818,0.095662542,31.5,LIGHT,28
0.000145754,0.095642447,31.5,LIGHT,29
0.016532668,0.095022217,31.5,LIGHT,30
0.01188945,0.093994599,31.5,LIGHT,31
0.030940372,0.093921172,31.5,LIGHT,32
0.032506769,0.093716522,31.5,LIGHT,33
0.032721502,0.093722262,31.5,LIGHT,34
0.046900045,0.09327515,31.5,LIGHT,35
0.053153004,0.093351951,31.5,LIGHT,36
0.062965865,0.093931374,31.5,LIGHT,37
0.073127983,0.0925959,31.5,LIGHT,38
0.075451121,0.091787885,31.5,LIGHT,39
0.087017793,0.091379917,31.5,LIGHT,40
0.099307962,0.091038262,31.5,LIGHT,41
0.091288717,0.090971481,31.5,LIGHT,42
0.107501449,0.090152802,31.5,LIGHT,43
0.117444875,0.090399909,31.5,LIGHT,44
0.1172475,0.089284111,31.5,LIGHT,45
0.129795221,0.088393715,31.5,LIGHT,46
0.13401016,0.088030904,31.5,LIGHT,47
0.13878917,0.086705486,31.5,LIGHT,48
0.155924739,0.085174681,31.5,LIGHT,49
0.155200542,0.084717488,31.5,LIGHT,50
0.166914301,0.083742598,31.5,LIGHT,51
0.17901283,0.082121714,31.5,LIGHT,52
0.172716873,0.081383193,31.5,LIGHT,53
0.193199045,0.079898447,31.5,LIGHT,54
0.201215238,0.078731839,31.5,LIGHT,55
0.195453858,0.077192756,31.5,LIGHT,56
0.211080325,0.075568552,31.5,LIGHT,57
0.213288577,0.073809859,31.5,LIGHT,58
0.225155309,0.072918012,31.5,LIGHT,59
0.232555782,0.069578663,31.5,LIGHT,60
0.243098525,0.068542528,31.5,LIGHT,61
0.240285197,0.066478919,31.5,LIGHT,62
0.257928114,0.063875433,31.5,LIGHT,63
0.260725029,0.062362556,31.5,LIGHT,64
0.271724278,0.059151189,31.5,LIGHT,65
0.279059191,0.05603376,31.5,LIGHT,66
0.279876143,0.054425671,31.5,LIGHT,67
0.291106142,0.05249664,31.5,LIGHT,68
0.332170203,0.031217203,31.5,LIGHT,69
0.337742135,0.028258725,31.5,LIGHT,70
0.340919818,0.0267971,31.5,LIGHT,71
0.339571505,0.025098009,31.5,LIGHT,72
0.345212079,0.022618414,31.5,LIGHT,73
0.364098491,0.0188187,31.5,LIGHT,74
0.364299736,0.017111825,31.5,LIGHT,75
0.359168363,0.015506621,31.5,LIGHT,76
0.359319449,0.013509473,31.5,LIGHT,77
0.372401097,0.009725282,31.5,LIGHT,78
0.386327284,0.006929685,31.5,LIGHT,79
0.383983884,0.005146542,31.5,LIGHT,80
0.386371971,0.005091393,31.5,LIGHT,81
0.388439438,0.00451957,31.5,LIGHT,82
0.386009919,0.001398139,31.5,LIGHT,83
0.384044794,0.001361475,31.5,LIGHT,84
0.384843895,0.001268454,31.5,LIGHT,85
0.377837224,0.001267333,31.5,LIGHT,86
0.383626256,0.001191853,31.5,LIGHT,87
0.387068346,0.001189902,31.5,LIGHT,88
0.382551121,0.001113054,31.5,LIGHT,89
0.384227841,0.001034478,31.5,LIGHT,90
0.381258126,0.000960849,31.5,LIGHT,91
0.39947517,-0.005616458,31.5,LIGHT,92
0.400014282,-0.005952474,31.5,LIGHT,93
0.401211288,-0.005933403,31.5,LIGHT,94
0.448881999,-0.032346048,31.5,LIGHT,95
0.448687677,-0.035478801,31.5,LIGHT,96
0.463253929,-0.03961294,31.5,LIGHT,97
0.463565196,-0.041790094,31.5,LIGHT,98
0.46408221,-0.043589505,31.5,LIGHT,99
0.463558553,-0.045705553,31.5,LIGHT,100
0.471352803,-0.049102485,31.5,LIGHT,101
0.486376938,-0.05303634,31.5,LIGHT,102
0.487738971,-0.055160982,31.5,LIGHT,103
0.484528968,-0.057080322,31.5,LIGHT,104
0.484113088,-0.057163115,31.5,LIGHT,105
0.564842244,-0.1069319,31.5,LIGHT,106
0.564156984,-0.110783649,31.5,LIGHT,107
0.589206192,-0.118287129,31.5,LIGHT,108
0.586054474,-0.12223879,31.5,LIGHT,109
0.58949174,-0.126344294,31.5,LIGHT,110
0.607349454,-0.134312828,31.5,LIGHT,111
0.612590948,-0.138277497,31.5,LIGHT,112
0.609029617,-0.142630993,31.5,LIGHT,113
0.631521513,-0.150729427,31.5,LIGHT,114
0.629237251,-0.154989913,31.5,LIGHT,115
0.632345225,-0.15991996,31.5,LIGHT,116
0.645080356,-0.168289317,31.5,LIGHT,117
0.647692457,-0.172491276,31.5,LIGHT,118
0.648977465,-0.177731772,31.5,LIGHT,119
0.672437888,-0.186552083,31.5,LIGHT,120
